"Date","Price","Open","High","Low","Change %"
"Apr 28, 1983","1.5592","1.5592","1.5592","1.5592","-0.56%"
"Apr 27, 1983","1.5680","1.5680","1.5680","1.5680","-0.13%"
"Apr 26, 1983","1.5700","1.5700","1.5700","1.5700","0.13%"
"Apr 25, 1983","1.5680","1.5680","1.5680","1.5680","1.62%"
"Apr 22, 1983","1.5430","1.5430","1.5430","1.5430","-0.29%"
"Apr 21, 1983","1.5475","1.5475","1.5475","1.5475","0.36%"
"Apr 20, 1983","1.5420","1.5420","1.5420","1.5420","-0.48%"
"Apr 19, 1983","1.5495","1.5495","1.5495","1.5495","-0.74%"
"Apr 18, 1983","1.5610","1.5610","1.5610","1.5610","0.79%"
"Apr 15, 1983","1.5488","1.5488","1.5488","1.5488","0.56%"
"Apr 14, 1983","1.5402","1.5402","1.5402","1.5402","0.24%"
"Apr 13, 1983","1.5365","1.5365","1.5365","1.5365","-0.39%"
"Apr 12, 1983","1.5425","1.5425","1.5425","1.5425","1.06%"
"Apr 11, 1983","1.5263","1.5263","1.5263","1.5263","1.42%"
"Apr 08, 1983","1.5050","1.5050","1.5050","1.5050","0.10%"
"Apr 07, 1983","1.5035","1.5035","1.5035","1.5035","-0.89%"
"Apr 06, 1983","1.5170","1.5170","1.5170","1.5170","0.71%"
"Apr 05, 1983","1.5063","1.5063","1.5063","1.5063","1.20%"
"Apr 04, 1983","1.4885","1.4885","1.4885","1.4885","0.40%"
"Mar 31, 1983","1.4825","1.4825","1.4825","1.4825","1.09%"
"Mar 30, 1983","1.4665","1.4665","1.4665","1.4665","0.84%"
"Mar 29, 1983","1.4543","1.4543","1.4543","1.4543","-0.01%"
"Mar 28, 1983","1.4545","1.4545","1.4545","1.4545","-0.38%"
"Mar 25, 1983","1.4600","1.4600","1.4600","1.4600","-0.12%"
"Mar 24, 1983","1.4618","1.4618","1.4618","1.4618","0.26%"
"Mar 23, 1983","1.4580","1.4580","1.4580","1.4580","-0.95%"
"Mar 22, 1983","1.4720","1.4720","1.4720","1.4720","0.10%"
"Mar 21, 1983","1.4705","1.4705","1.4705","1.4705","-1.14%"
"Mar 18, 1983","1.4875","1.4875","1.4875","1.4875","-0.99%"
"Mar 17, 1983","1.5023","1.5023","1.5023","1.5023","-0.51%"
"Mar 16, 1983","1.5100","1.5100","1.5100","1.5100","-0.26%"
"Mar 15, 1983","1.5140","1.5140","1.5140","1.5140","0.33%"
"Mar 14, 1983","1.5090","1.5090","1.5090","1.5090","0.42%"
"Mar 11, 1983","1.5027","1.5027","1.5027","1.5027","-0.60%"
"Mar 10, 1983","1.5117","1.5117","1.5117","1.5117","0.61%"
"Mar 09, 1983","1.5025","1.5025","1.5025","1.5025","0.20%"
"Mar 08, 1983","1.4995","1.4995","1.4995","1.4995","-1.14%"
"Mar 07, 1983","1.5168","1.5168","1.5168","1.5168","0.38%"
"Mar 04, 1983","1.5110","1.5110","1.5110","1.5110","-0.10%"
"Mar 03, 1983","1.5125","1.5125","1.5125","1.5125","0.50%"
"Mar 02, 1983","1.5050","1.5050","1.5050","1.5050","0.03%"
"Mar 01, 1983","1.5045","1.5045","1.5045","1.5045","-0.46%"
"Feb 28, 1983","1.5115","1.5115","1.5115","1.5115","-1.02%"
"Feb 25, 1983","1.5270","1.5270","1.5270","1.5270","-0.03%"
"Feb 24, 1983","1.5275","1.5275","1.5275","1.5275","-0.36%"
"Feb 23, 1983","1.5330","1.5330","1.5330","1.5330","0.76%"
"Feb 22, 1983","1.5215","1.5215","1.5215","1.5215","-1.43%"
"Feb 18, 1983","1.5435","1.5435","1.5435","1.5435","0.00%"
"Feb 17, 1983","1.5435","1.5435","1.5435","1.5435","-0.48%"
"Feb 16, 1983","1.5510","1.5510","1.5510","1.5510","0.65%"
"Feb 15, 1983","1.5410","1.5410","1.5410","1.5410","0.16%"
"Feb 14, 1983","1.5385","1.5385","1.5385","1.5385","-0.13%"
"Feb 11, 1983","1.5405","1.5405","1.5405","1.5405","-0.55%"
"Feb 10, 1983","1.5490","1.5490","1.5490","1.5490","0.52%"
"Feb 09, 1983","1.5410","1.5410","1.5410","1.5410","0.29%"
"Feb 08, 1983","1.5365","1.5365","1.5365","1.5365","0.16%"
"Feb 07, 1983","1.5340","1.5340","1.5340","1.5340","0.62%"
"Feb 04, 1983","1.5245","1.5245","1.5245","1.5245","0.00%"
"Feb 03, 1983","1.5245","1.5245","1.5245","1.5245","0.73%"
"Feb 02, 1983","1.5135","1.5135","1.5135","1.5135","-0.66%"
"Feb 01, 1983","1.5235","1.5235","1.5235","1.5235","0.22%"
"Jan 31, 1983","1.5202","1.5202","1.5202","1.5202","-1.04%"
"Jan 28, 1983","1.5362","1.5362","1.5362","1.5362","-0.02%"
